@relation 'Bank_Note_Authentication-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.RandomProjection-N3-R100-DSparse1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Reorder-R2-last,1'

@attribute cluster {cluster1,cluster2}
@attribute class {0,1}

@data
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster2,1
cluster1,1
cluster2,1
cluster1,0
cluster1,1
cluster2,0
cluster1,0
cluster2,0
cluster1,1
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster2,1
cluster2,1
cluster2,0
cluster2,1
cluster2,0
cluster2,1
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster2,1
cluster2,1
cluster2,0
cluster1,1
cluster2,1
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster2,1
cluster1,0
cluster1,0
cluster2,0
cluster1,1
cluster1,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster2,1
cluster2,0
cluster2,1
cluster1,0
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster1,0
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster2,1
cluster1,1
cluster2,0
cluster2,1
cluster2,1
cluster1,1
cluster2,0
cluster1,0
cluster2,1
cluster2,1
cluster1,1
cluster2,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster2,1
cluster2,1
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster2,1
cluster1,1
cluster1,1
cluster2,0
cluster2,1
cluster2,1
cluster1,0
cluster1,0
cluster2,1
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster1,1
cluster2,0
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster2,0
cluster1,0
cluster2,1
cluster1,1
cluster2,1
cluster1,0
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster2,1
cluster2,1
cluster1,1
cluster2,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster2,1
cluster2,0
cluster1,1
cluster1,0
cluster2,1
cluster2,1
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster1,1
cluster1,1
cluster1,1
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster1,0
cluster2,0
cluster1,0
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster2,0
cluster1,1
cluster1,1
cluster2,0
cluster2,1
cluster1,1
cluster2,0
cluster2,1
cluster1,0
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster1,0
cluster2,0
cluster2,0
cluster2,0
cluster2,1
cluster1,1
cluster2,0
cluster2,1
cluster2,0
cluster1,0
cluster2,0
cluster1,0
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster1,0
cluster1,1
cluster2,1
cluster2,1
cluster2,1
cluster2,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster2,1
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster2,1
cluster1,0
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster1,1
cluster2,0
cluster1,0
cluster2,0
cluster1,1
cluster1,1
cluster1,1
cluster2,1
cluster2,0
cluster2,1
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster2,0
cluster1,0
cluster1,0
cluster2,0
cluster1,0
cluster1,0
cluster1,1
cluster2,0
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster1,0
cluster2,1
cluster1,1
cluster2,0
cluster2,0
cluster2,1
cluster2,0
cluster2,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster2,1
cluster2,0
cluster2,1
cluster2,0
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster2,1
cluster2,1
cluster2,0
cluster1,0
cluster1,1
cluster1,0
cluster2,0
cluster2,0
cluster1,1
cluster2,1
cluster2,0
cluster1,1
cluster1,0
cluster2,1
cluster2,1
cluster2,1
cluster2,0
cluster2,1
cluster2,0
cluster1,1
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster2,1
cluster2,0
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster1,1
cluster2,1
cluster2,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster2,1
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster2,1
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster1,0
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster1,0
cluster1,1
cluster2,1
cluster1,1
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster1,1
cluster2,0
cluster1,0
cluster1,0
cluster1,0
cluster2,0
cluster2,0
cluster1,1
cluster1,0
cluster1,0
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster2,1
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster2,1
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster1,0
cluster2,1
cluster2,1
cluster2,0
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster2,1
cluster1,1
cluster1,1
cluster1,1
cluster2,0
cluster1,0
cluster1,1
cluster1,1
cluster2,1
cluster2,0
cluster2,1
cluster1,1
cluster1,0
cluster2,1
cluster2,0
cluster1,0
cluster2,1
cluster2,0
cluster2,0
cluster2,1
cluster1,0
cluster1,0
cluster2,0
cluster2,1
cluster1,1
cluster1,1
cluster2,1
cluster2,0
cluster1,1
cluster2,1
cluster2,1
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster2,1
cluster1,1
cluster2,0
cluster1,1
cluster1,1
cluster2,0
cluster2,1
cluster2,1
cluster1,1
cluster2,1
cluster2,0
cluster2,1
cluster2,0
cluster1,0
cluster2,0
cluster1,1
cluster2,1
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster1,0
cluster1,1
cluster2,0
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster2,1
cluster1,0
cluster1,1
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster1,1
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster1,0
cluster2,1
cluster1,0
cluster2,0
cluster1,1
cluster1,0
cluster1,0
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster2,1
cluster2,1
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster2,0
cluster2,1
cluster1,1
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster2,1
cluster1,1
cluster2,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster2,1
cluster2,0
cluster2,1
cluster2,0
cluster2,1
cluster2,1
cluster1,0
cluster2,0
cluster1,1
cluster1,0
cluster1,1
cluster2,0
cluster2,1
cluster2,0
cluster1,1
cluster1,0
cluster2,0
cluster1,1
cluster1,1
cluster2,0
cluster2,1
cluster1,0
cluster1,0
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster2,1
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster2,1
cluster1,0
cluster1,1
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster2,1
cluster2,1
cluster2,0
cluster1,0
cluster2,1
cluster2,0
cluster1,1
cluster2,1
cluster2,1
cluster1,0
cluster2,0
cluster1,1
cluster1,1
cluster2,1
cluster1,0
cluster2,1
cluster1,1
cluster1,1
cluster2,1
cluster2,0
cluster2,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster1,1
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster1,1
cluster2,0
cluster2,1
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster1,0
cluster2,0
cluster1,0
cluster2,0
cluster1,1
cluster1,1
cluster1,0
cluster2,1
cluster2,1
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster2,1
cluster1,0
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster1,0
cluster1,1
cluster1,0
cluster2,0
cluster2,1
cluster2,0
cluster1,0
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster2,1
cluster1,0
cluster2,0
cluster1,0
cluster2,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster2,1
cluster1,1
cluster2,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster2,1
cluster2,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster2,0
cluster1,0
cluster2,1
cluster1,1
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster2,1
cluster2,0
cluster1,1
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster2,0
cluster1,1
cluster2,0
cluster1,0
cluster1,0
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster1,0
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster1,0
cluster1,0
cluster2,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster2,1
cluster2,1
cluster1,0
cluster1,0
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster1,1
cluster2,1
cluster2,0
cluster1,1
cluster1,1
cluster2,0
cluster2,1
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster2,1
cluster2,0
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster1,0
cluster2,0
cluster2,1
cluster2,1
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster2,1
cluster2,1
cluster1,0
cluster1,1
cluster2,0
cluster2,1
cluster1,1
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster1,1
cluster1,1
cluster2,1
cluster2,0
cluster1,1
cluster2,0
cluster2,1
cluster2,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster2,0
cluster2,0
cluster2,0
cluster2,1
cluster1,0
cluster2,0
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster2,1
cluster2,1
cluster2,1
cluster1,1
cluster1,1
cluster1,0
cluster2,1
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster1,1
cluster2,1
cluster1,0
cluster2,0
cluster1,1
cluster1,0
cluster1,1
cluster2,1
cluster2,0
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,0
cluster2,0
cluster2,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster2,0
cluster2,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster2,0
cluster1,1
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster1,0
cluster2,1
cluster2,1
cluster1,1
cluster1,0
cluster2,0
cluster1,1
cluster2,1
cluster1,0
cluster2,0
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster2,1
cluster1,0
cluster1,0
cluster2,0
cluster1,1
cluster2,1
cluster1,1
cluster2,0
cluster2,1
cluster1,0
cluster2,1
cluster2,1
cluster2,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster1,1
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster1,0
cluster2,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster2,1
cluster2,0
cluster1,1
cluster1,0
cluster2,0
cluster1,0
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster1,0
cluster2,1
cluster1,1
cluster1,1
cluster1,0
cluster2,0
cluster1,1
cluster2,0
cluster1,0
cluster1,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster2,0
cluster1,0
cluster2,0
cluster2,0
cluster2,1
cluster1,0
cluster1,1
cluster2,1
cluster2,0
cluster2,1
cluster1,0
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster2,0
cluster1,1
cluster2,1
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster1,1
cluster1,0
cluster2,0
cluster1,0
cluster1,1
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster1,0
cluster2,1
cluster2,0
cluster1,0
cluster2,1
cluster2,0
cluster1,1
cluster1,0
cluster2,0
cluster1,1
cluster2,0
cluster2,0
cluster1,1
cluster1,0
cluster2,1
cluster2,1
cluster2,0
cluster1,1
cluster1,1
cluster2,0
cluster1,1
cluster2,0
cluster1,1
cluster1,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster2,0
cluster1,0
cluster1,0
cluster1,1
cluster2,0
cluster2,0
cluster1,0
cluster1,1
cluster1,0
